Protein IDs	Peptides	Razor + unique peptides	Unique peptides	Score	Intensity	LFQ intensity KES1	LFQ intensity KES2	LFQ intensity KES3	LFQ intensity PBS1	LFQ intensity PBS2	LFQ intensity PBS3	LFQ intensity W1	LFQ intensity W2	LFQ intensity W3	Only identified by site	Reverse	Potential contaminant	id
V1.UC57-0_GL0089990;MH0267_GL0117770;V1.UC41-0_GL0079717;V1.UC26-4_GL0190813;V1.CD38-0_GL0080542;T2D-73A_GL0008485;T2D-133A_GL0038768;NOF013_GL0080346;N087A_GL0024666;N085A_GL0029893;MH0407_GL0128157;MH0402_GL0086853;MH0381_GL0145718;MH0333_GL0042398;MH0238_GL0134062;MH0198_GL0082790;MH0181_GL0103869;MH0152_GL0000141;MH0143_GL0122989;MH0128_GL0026127;MH0101_GL0040517;MH0025_GL0070880;MH0020_GL0064628;MH0019_GL0038836;MH0013_GL0007786;MH0011_GL0075620;MH0004_GL0034112;MH0004_GL0033072;DOM005_GL0008002;765094712-stool1_revised_scaffold5351_1_gene15352;158337416-stool1_revised_scaffold14922_1_gene150228;MH0438_GL0138215;MH0012_GL0124041;159632143-stool1_revised_scaffold45469_1_gene66347;T2D-59A_GL0115892;SZEY-103A_GL0024134;MH0239_GL0005737;HT8A_GL0001944;V1.CD1-3-PN_GL0013721;T2D-135A_GL0101895;NOF013_GL0058769;DOF013_GL0026071;O2.UC41-1_GL0105315;MH0059_GL0015459;BGI-33A_GL0053697;NOM023_GL0031666;MH0065_GL0009981;MH0415_GL0146310;O2.UC31-1_GL0043935;MH0083_GL0070218;MH0189_GL0103919;NOF010_GL0087997;MH0239_GL0013230;MH0012_GL0209168;MH0367_GL0089838;MH0145_GL0138879;MH0410_GL0013184;MH0267_GL0135114;MH0243_GL0079153;763759525-stool2_revised_scaffold17671_1_gene59492;158499257-stool1_revised_C1303791_1_gene22006;T2D-48A_GL0063831;MH0186_GL0059268;MH0411_GL0125334;158499257-stool1_revised_scaffold25093_1_gene101614;158499257-stool1_revised_C1444234_1_gene215443;MH0077_GL0068911;MH0012_GL0006824;O2.UC8-0_GL0125133;O2.UC1-1_GL0045863;MH0435_GL0013778;MH0314_GL0012201;MH0281_GL0155491;MH0265_GL0118611;MH0243_GL0071648;MH0192_GL0160697;MH0107_GL0078564;MH0070_GL0059109;MH0057_GL0016340;MH0055_GL0015280;MH0052_GL0014236;MH0046_GL0009923;MH0025_GL0065105;MH0014_GL0077290;MH0004_GL0027022;MH0003_GL0007995;DOM022_GL0018186;MH0198_GL0106781;638754422-stool1_revised_scaffold24795_2_gene5451;MH0239_GL0048594;765560005-stool1_revised_scaffold36_1_gene84970;159551223-stool2_revised_C930113_1_gene143800;V1.UC40-0_GL0047773;MH0458_GL0022832;158458797-stool1_revised_scaffold17283_1_gene7819;MH0369_GL0018218;MH0361_GL0001949;MH0260_GL0132309;MH0407_GL0116834;BGI089A_GL0018262;MH0391_GL0158881;158458797-stool1_revised_scaffold31786_1_gene10270;T2D-22A_GL0039939;V1.CD30-0_GL0033402;DLM007_GL0004812;158499257-stool2_revised_scaffold13094_1_gene214681;MH0055_GL0049620;MH0328_GL0016649;MH0062_GL0041001;MH0006_GL0054380;MH0407_GL0165980;MH0243_GL0016504;MH0141_GL0061569;MH0117_GL0046651;MH0257_GL0171196;764588959-stool1_revised_scaffold9848_1_gene119875;T2D-51A_GL0014226;MH0274_GL0055825;MH0012_GL0110929;V1.CD40-0_GL0161139;N085A_GL0013395;MH0298_GL0058910;MH0187_GL0051095;DOM012_GL0045978;160400887-stool1_revised_scaffold33544_1_gene32728;159247771-stool1_revised_scaffold14967_1_gene94118;MH0415_GL0065261;MH0405_GL0138938;158337416-stool2_revised_C1042434_1_gene139753;MH0376_GL0041699;160400887-stool1_revised_scaffold35345_1_gene211883;MH0337_GL0059450;MH0037_GL0032739;MH0252_GL0147960;MH0116_GL0061496;MH0355_GL0013648;MH0059_GL0091826;MH0429_GL0180468;MH0286_GL0125553;O2.UC31-1_GL0010122;158256496-stool1_revised_C975004_1_gene129019;158499257-stool1_revised_C1326155_1_gene27594;158458797-stool1_revised_C1259426_1_gene77146;158479027-stool1_revised_C700600_1_gene101293;MH0452_GL0062956;MH0430_GL0011768;MH0138_GL0023770;N089A_GL0051566;MH0442_GL0253801;158499257-stool2_revised_scaffold9448_1_gene17036;MH0143_GL0064773;N038A_GL0076505;MH0386_GL0047358;160765029-stool1_revised_scaffold16338_1_gene1256;V1.CD6-0-PN_GL0115387;O2.UC16-1_GL0130599;MH0338_GL0028667;MH0309_GL0123507;MH0283_GL0077762;MH0264_GL0074961;MH0261_GL0015194;MH0252_GL0162474;MH0195_GL0141601;MH0101_GL0076608;MH0020_GL0031973;MH0016_GL0035907;763597684-stool1_revised_scaffold47898_1_gene53791;160765029-stool1_revised_C1117147_1_gene146897;159632143-stool1_revised_scaffold17640_1_gene34451;V1.FI17_GL0233245;V1.CD3-3-PN_GL0042581;O2.UC24-1_GL0054084;MH0020_GL0050969;158458797-stool1_revised_scaffold35047_2_gene87617;MH0265_GL0104901;ED16A_GL0082686;DLM014_GL0014263;MH0252_GL0169125;MH0170_GL0038846;160400887-stool1_revised_scaffold19970_1_gene195666;MH0090_GL0097212;MH0069_GL0011068;O2.UC40-1_GL0220250;MH0138_GL0034102;MH0006_GL0048795;N103A_GL0063860;MH0006_GL0119163;O2.UC24-2_GL0125959;158499257-stool1_revised_scaffold28458_1_gene80503;T2D-110A_GL0106435;159571453-stool2_revised_C1046017_1_gene34291;MH0161_GL0002745;V1.UC50-1_GL0198812;764325968-stool1_revised_scaffold6743_1_gene59029;MH0298_GL0040135;159166850-stool1_revised_scaffold526_2_gene141812;MH0245_GL0108588;763860675-stool1_revised_C1111195_1_gene88344;MH0354_GL0023288;MH0394_GL0133760;763860675-stool2_revised_scaffold39906_1_gene55549;MH0277_GL0042047;MH0447_GL0201947;MH0150_GL0094952;MH0069_GL0006888;MH0011_GL0096193;MH0357_GL0051886;360104.CCC13826_0747;MH0357_GL0106841;T2D-76A_GL0064655	6	6	0	0.0	296422000	31742000	25909000	34853000	26759000	31456000	40395000	37508000	28662000	39138000				24
V1.CD22-0_GL0073915;158337416-stool1_revised_scaffold24062_1_gene98987;MH0131_GL0169068;V1.FI17_GL0157656;V1.UC38-0_GL0024712	3	3	3	0.0	38475800	6379200	7915900	4852000	0	4044500	4689700	3248100	0	7346400				25
MH0038_GL0008094;158337416-stool1_revised_scaffold26986_1_gene97733;NOM023_GL0041143	26	1	0	0.0	174904900	9033700	9637200	10024000	33701000	24104000	21717000	22277000	22273000	22138000				26
T2D-6A_GL0185062;N038A_GL0047582;159551223-stool1_revised_scaffold48497_1_gene43057;MH0289_GL0016197;MH0246_GL0043363;158337416-stool1_revised_scaffold28684_1_gene45723;MH0025_GL0043386;MH0244_GL0090657;T2D-22A_GL0132571;160765029-stool1_revised_C1115557_1_gene5571;T2D-11A_GL0137902;MH0142_GL0034829;MH0431_GL0102121;V1.UC26-0_GL0174524;MH0066_GL0050601;MH0193_GL0123960	3	3	3	0.0	47883730	599520	458050	645760	6559900	7725600	5707700	9349400	9543300	7294500				27
457396.CSBG_02314;158337416-stool1_revised_scaffold29152_1_gene50973;MH0453_GL0025555;765701615-stool1_revised_scaffold20214_1_gene153067;DOF004_GL0027506;MH0222_GL0121622;MH0450_GL0256574;MH0360_GL0107372;765640925-stool1_revised_scaffold32719_1_gene113355;V1.FI36_GL0030077;MH0277_GL0015765;SZEY-81A_GL0083733;V1.CD41-0_GL0109867	3	2	2	0.0	99266800	6674800	9338800	6453200	13909000	10291000	10744000	12207000	15619000	14030000				28
158337416-stool2_revised_C1019574_1_gene60214;NLM006_GL0044882	1	1	1	0.0	26243100	6573600	5033400	6254700	0	0	0	0	8381400	0				29
DOM014_GL0011171;NLF009_GL0040586;MH0157_GL0040668;N034A_GL0062731;MH0160_GL0060179;N049A_GL0060483;NOM023_GL0029028;MH0381_GL0162356;NLF014_GL0025746;V1.CD38-0_GL0122833;N040A_GL0041474;MH0267_GL0161216;MH0101_GL0047731;T2D-198A_GL0019206;763536994-stool2_revised_C1115965_1_gene110971;N052A_GL0023061;159571453-stool1_revised_C698516_1_gene36404;763860675-stool1_revised_C1148901_1_gene157271;469586.BSIG_03527;160421117-stool1_revised_C304847_1_gene35508;160218816-stool1_revised_scaffold35891_1_gene81347;158337416-stool2_revised_C1029312_1_gene108267;T2D-48A_GL0097923;T2D-133A_GL0095298;N085A_GL0055748;MH0333_GL0018032;MH0101_GL0092696;MH0038_GL0038276;MH0011_GL0017812;DLM002_GL0020744;V1.CD13-0_GL0001062;N087A_GL0068283;MH0039_GL0018952;MH0016_GL0041657;MH0004_GL0015535;DLM003_GL0032291;765094712-stool1_revised_scaffold6033_3_gene44366;V1.CD27-0_GL0121016;O2.UC44-2_GL0074309;765094712-stool1_revised_scaffold4946_2_gene49269;T2D-51A_GL0122002;MH0206_GL0093275;T2D-91A_GL0049117;O2.UC57-2_GL0142160;T2D-8A_GL0038259;DOM019_GL0083353;MH0195_GL0175833;N006A_GL0029740;MH0016_GL0054547;MH0441_GL0155974;MH0147_GL0109535;159571453-stool1_revised_C699188_1_gene93752;MH0016_GL0019637;O2.UC15-1_GL0016147;MH0037_GL0054892;MH0274_GL0139941;MH0402_GL0046990;MH0002_GL0034564;T2D-135A_GL0114508;O2.UC8-0_GL0133268;O2.UC1-1_GL0124720;MH0407_GL0120939;MH0290_GL0141296;MH0281_GL0119069;MH0265_GL0097253;MH0057_GL0007904;MH0047_GL0039418;MH0025_GL0028515;MH0014_GL0073384;MH0006_GL0150410;MH0004_GL0003577;MH0003_GL0034787;MH0002_GL0016617;DOM005_GL0035057;MH0187_GL0019492;NOF013_GL0068402;ED16A_GL0109649;MH0187_GL0116064;158479027-stool1_revised_scaffold27210_3_gene130410;V1.FI12_GL0016447;MH0113_GL0048693;MH0010_GL0025596;N079A_GL0053003;158499257-stool2_revised_scaffold31116_1_gene209661;158458797-stool1_revised_scaffold34663_1_gene51521;158458797-stool1_revised_C1248504_1_gene117746;159166850-stool1_revised_scaffold8301_2_gene72961;V1.UC57-0_GL0058085;158499257-stool1_revised_scaffold28422_1_gene104258;MH0309_GL0146278;MH0189_GL0119124;MH0050_GL0078792;V1.FI32_GL0239730;T2D-189A_GL0122706;MH0036_GL0008418;MH0458_GL0072290;638754422-stool1_revised_scaffold25117_1_gene39509;158458797-stool1_revised_scaffold35250_1_gene96862;158458797-stool1_revised_scaffold28163_1_gene108241;MH0411_GL0042699;MH0097_GL0090336;158337416-stool2_revised_scaffold18824_1_gene40670;MH0369_GL0141375;MH0041_GL0057809;160765029-stool1_revised_scaffold20502_1_gene10410;V1.CD3-3-PN_GL0077918;MH0229_GL0009464;MH0020_GL0023927;765560005-stool1_revised_scaffold23521_1_gene62951;764447348-stool1_revised_scaffold17422_1_gene29376;MH0250_GL0175165;MH0361_GL0137401;MH0257_GL0132936;V1.UC40-1_GL0126854;MH0055_GL0072798;V1.UC41-0_GL0002536;MH0376_GL0153675;MH0355_GL0073505;MH0351_GL0045794;MH0314_GL0000939;MH0298_GL0094834;MH0243_GL0042819;MH0192_GL0094249;MH0070_GL0064822;MH0069_GL0089679;MH0046_GL0014709;DLM014_GL0055091;160502038-stool1_revised_scaffold53703_1_gene67499;V1.FI17_GL0222202;O2.UC24-2_GL0042120;MH0198_GL0199242;MH0011_GL0034612;MH0004_GL0034189;158499257-stool1_revised_C1442418_1_gene208319;N038A_GL0124054;ED12A_GL0010197;MH0222_GL0103704;MH0069_GL0049188;MH0220_GL0156742;MH0284_GL0084225;MH0437_GL0020618;MH0452_GL0144963;MH0415_GL0029730;MH0388_GL0129054;MH0429_GL0054320;MH0267_GL0002270;MH0077_GL0073238;MH0415_GL0238357;158499257-stool1_revised_scaffold30848_1_gene180292;MH0083_GL0052908;MH0337_GL0126625;MH0355_GL0095043;MH0252_GL0028082;158499257-stool2_revised_scaffold72521_1_gene77274;MH0175_GL0006690;MH0118_GL0018584;MH0391_GL0055721;MH0116_GL0005712	4	4	2	0.0	89512100	12184000	13151000	16866000	7265500	9303700	8310200	8389000	6385300	7657400				30
158337416-stool2_revised_C1030196_1_gene103329	4	1	1	0.0	6736600	2519500	1870600	2346500	0	0	0	0	0	0				31
158337416-stool2_revised_C1044594_1_gene29435	3	3	3	0.0	30350900	4021300	3140100	3162500	3005100	3080000	3584500	3267500	3651000	3438900				32
158337416-stool2_revised_scaffold12447_1_gene7248;V1.UC11-0_GL0071567;MH0068_GL0053852;MH0267_GL0100347;MH0094_GL0099853;MH0037_GL0030654;O2.UC56-2_GL0025980;MH0101_GL0038195;T2D-57A_GL0131079;NOF010_GL0096606;DLM006_GL0048293;MH0195_GL0041461;N013A_GL0011857;BGI-17A_GL0074145;MH0274_GL0116462;MH0012_GL0065615;V1.UC43-0_GL0130287;T2D-57A_GL0129550;MH0328_GL0057516;MH0055_GL0065198;V1.CD3-3-PN_GL0055164;NOM004_GL0040959;NOM013_GL0030070;159571453-stool2_revised_C1058049_1_gene90621;N027A_GL0026682;763901136-stool1_revised_scaffold36135_7_gene53306;V1.FI12_GL0050149;MH0435_GL0010495;MH0321_GL0087042;MH0314_GL0028175;MH0118_GL0075038;MH0069_GL0045665;MH0046_GL0012618;MH0050_GL0069716;MH0101_GL0062223;160765029-stool1_revised_scaffold21588_1_gene189243;O2.UC17-2_GL0039728;MH0108_GL0106059;MH0014_GL0049116;SZEY-78A_GL0098701;BGI001A_GL0005185;NLF007_GL0015979;MH0357_GL0005601;MH0040_GL0039498;MH0238_GL0159020;MH0435_GL0067470;V1.UC35-4_GL0187177;MH0239_GL0046580;765560005-stool1_revised_scaffold2636_1_gene34318;V1.CD15-3_GL0047885	12	12	0	0.0	417687000	44930000	44701000	53872000	45766000	49847000	51870000	45611000	42436000	38654000				33
